aX,aY,aZ,gX,gY,gZ
-0.100,-1.021,-0.014,1.892,6.042,2.808
-0.099,-1.023,-0.010,2.502,5.371,3.052
-0.099,-1.024,-0.009,2.686,4.578,3.296
-0.104,-1.029,-0.006,1.709,3.601,3.235
-0.102,-1.032,0.001,0.427,2.563,2.808
-0.103,-1.026,0.009,-1.038,1.892,2.319
-0.105,-1.018,0.018,-2.075,1.587,2.014
-0.105,-1.014,0.019,-2.686,1.282,1.953
-0.107,-1.008,0.017,-2.563,1.221,2.014
-0.108,-1.004,0.015,-1.953,2.075,2.319
-0.108,-1.002,0.017,-0.793,2.686,2.258
-0.107,-1.001,0.016,1.343,3.357,2.319
-0.110,-1.001,0.014,3.113,4.333,2.380
-0.107,-1.004,0.016,3.906,4.944,2.563
-0.098,-1.006,0.021,3.540,5.188,2.930
-0.098,-1.011,0.027,2.563,4.944,3.235
-0.095,-1.013,0.025,2.075,3.357,3.113
-0.095,-1.013,0.018,1.892,1.648,2.563
-0.091,-1.005,0.009,2.136,0.732,1.892
-0.083,-1.003,0.005,2.319,0.671,1.892
-0.085,-1.008,0.002,2.075,1.099,2.380
-0.088,-1.012,0.000,2.136,1.953,2.502
-0.086,-1.010,0.000,2.869,2.808,2.441
-0.086,-1.009,0.001,2.808,3.418,2.319
-0.087,-1.007,0.006,2.197,3.662,2.197
-0.086,-1.005,0.013,1.648,3.784,1.953
-0.086,-1.001,0.018,1.587,3.784,1.831
-0.087,-1.001,0.021,1.831,3.845,2.014
-0.088,-1.004,0.017,1.648,3.235,2.380
-0.090,-1.005,0.012,1.526,2.502,2.258
-0.096,-1.005,0.007,1.648,2.441,2.136
-0.100,-1.001,0.009,1.404,2.502,1.892
-0.098,-1.000,0.013,1.282,1.953,1.892
-0.095,-1.001,0.014,1.770,1.648,2.319
-0.099,-1.001,0.013,2.136,1.892,2.319
-0.103,-1.000,0.011,2.625,2.197,2.625
-0.099,-0.998,0.013,2.563,2.441,2.930
-0.092,-1.001,0.021,1.831,2.502,3.174
-0.091,-1.008,0.023,0.916,1.892,3.723
-0.092,-1.014,0.021,0.732,1.160,3.906
-0.093,-1.016,0.017,0.977,0.427,3.357
-0.095,-1.012,0.016,1.343,0.305,2.747
-0.095,-1.008,0.017,1.465,0.366,2.136
-0.097,-1.005,0.019,1.465,0.793,2.075
-0.097,-1.008,0.019,1.831,1.160,2.502
-0.095,-1.012,0.018,2.380,1.465,2.808
-0.092,-1.021,0.022,2.991,1.587,2.747
-0.094,-1.021,0.023,3.113,1.343,2.014
-0.094,-1.015,0.021,3.357,0.854,1.526
-0.097,-1.011,0.016,3.052,0.244,1.160
-0.101,-1.008,0.011,2.136,0.244,1.282
-0.102,-1.006,0.010,1.892,0.366,1.160
-0.104,-1.002,0.010,2.319,0.854,1.099
-0.103,-1.003,0.010,2.686,1.099,1.587
-0.102,-1.001,0.011,2.747,1.343,2.014
-0.097,-1.001,0.015,2.747,1.099,2.441
-0.098,-1.006,0.015,2.014,0.732,2.808
-0.098,-1.009,0.011,1.160,0.305,2.869
-0.096,-1.010,0.008,0.916,-0.122,2.625
-0.094,-1.010,0.005,1.038,-0.122,2.319
-0.094,-1.010,0.006,1.465,0.366,1.892
-0.092,-1.007,0.006,2.563,1.099,1.709
-0.096,-1.004,0.011,3.174,1.587,1.709

-1.489,-1.014,0.331,-45.288,-7.935,-26.978
-1.530,-1.038,0.341,-48.096,-15.015,-21.973
-1.507,-1.002,0.351,-49.866,-22.339,-17.090
-1.469,-0.970,0.353,-47.363,-32.715,-11.658
-1.419,-0.947,0.349,-39.856,-42.175,-6.409
-1.357,-0.923,0.329,-27.710,-49.133,-2.197
-1.276,-0.905,0.289,-14.038,-53.894,2.869
-1.168,-0.901,0.242,-3.967,-57.068,8.301
-1.024,-0.908,0.199,-2.625,-58.167,14.709
-0.872,-0.953,0.171,-8.545,-57.129,23.010
-0.713,-1.013,0.145,-18.372,-51.147,32.104
-0.551,-1.077,0.110,-29.053,-40.588,40.344
-0.357,-1.131,0.131,-35.828,-29.236,47.302
-0.188,-1.197,0.130,-34.668,-15.442,52.124
-0.055,-1.253,0.151,-23.682,0.000,52.673
0.053,-1.281,0.161,-4.150,14.160,49.194
0.126,-1.289,0.149,19.958,23.743,43.396
0.143,-1.280,0.104,43.457,27.283,35.889
0.152,-1.249,0.079,60.364,26.367,27.100
0.125,-1.212,0.042,67.139,21.606,18.982
0.129,-1.184,0.025,62.683,17.273,12.512
0.112,-1.154,0.019,49.133,13.184,7.507
0.083,-1.112,0.019,31.616,9.888,3.113
0.065,-1.074,0.035,17.029,6.958,-0.854
0.042,-1.040,0.028,8.545,4.578,-3.784
-0.001,-0.993,0.030,5.981,1.343,-4.639
-0.017,-0.969,0.014,7.080,-2.258,-5.371
-0.032,-0.954,-0.008,8.911,-3.784,-5.981
-0.055,-0.938,-0.022,9.644,-5.737,-5.127
-0.072,-0.932,-0.025,9.338,-6.897,-4.333
-0.076,-0.937,-0.015,7.812,-5.920,-3.418
-0.081,-0.944,0.006,4.456,-4.150,-1.526
-0.077,-0.964,0.039,2.075,-0.977,-0.061
-0.088,-0.978,0.054,1.282,1.343,0.977
-0.104,-0.966,0.080,1.404,0.916,2.136
-0.118,-0.958,0.094,1.404,-1.038,2.441
-0.125,-0.957,0.096,1.099,-3.784,3.113
-0.130,-0.959,0.085,0.061,-7.263,3.906
-0.133,-0.968,0.068,-0.488,-11.047,4.944
-0.133,-0.982,0.046,-0.549,-13.916,6.165
-0.130,-0.991,0.024,-0.366,-15.198,6.958
-0.123,-1.000,0.011,0.366,-13.977,7.568
-0.117,-1.002,0.003,1.343,-11.108,8.057
-0.112,-1.008,0.002,2.686,-7.202,8.606
-0.103,-1.018,0.003,3.784,-3.418,9.216
-0.099,-1.030,0.005,4.639,0.000,9.399
-0.087,-1.042,0.007,5.798,2.380,8.423
-0.075,-1.050,0.002,7.324,3.845,7.202
-0.071,-1.049,-0.001,8.179,4.822,6.409
-0.069,-1.048,-0.003,7.812,5.249,6.165
-0.064,-1.052,-0.004,6.897,5.066,6.042
-0.057,-1.053,-0.002,6.042,4.578,5.798
-0.050,-1.052,-0.002,4.761,3.784,5.310
-0.048,-1.055,-0.002,3.479,2.808,4.639
-0.048,-1.059,-0.005,2.075,2.563,3.845
-0.054,-1.055,-0.008,1.221,3.174,2.258
-0.054,-1.049,-0.006,2.014,4.028,0.305
-0.058,-1.038,-0.004,3.723,4.883,-1.526
-0.061,-1.028,-0.004,5.188,5.615,-2.930
-0.062,-1.022,-0.009,6.348,6.104,-3.784
-0.066,-1.016,-0.013,7.507,5.859,-4.272
-0.065,-1.008,-0.015,8.484,5.493,-4.639
-0.069,-1.000,-0.017,8.972,5.798,-5.249
-0.072,-0.993,-0.022,8.301,6.226,-5.737
-0.078,-0.987,-0.026,6.836,6.104,-6.470
-0.079,-0.979,-0.024,5.859,6.592,-6.958
-0.083,-0.968,-0.014,4.700,7.019,-6.775
-0.081,-0.959,-0.005,3.235,6.897,-5.920
-0.084,-0.956,0.001,1.953,6.775,-4.639
-0.089,-0.957,0.007,1.648,6.409,-3.601
-0.087,-0.960,0.011,1.038,6.042,-2.075
-0.085,-0.966,0.011,1.221,5.737,-0.488
-0.087,-0.975,0.019,1.831,5.310,0.854
-0.084,-0.988,0.030,2.502,5.005,1.892
-0.079,-0.996,0.038,2.869,4.700,2.136
-0.076,-1.003,0.040,3.540,5.005,2.441
-0.089,-1.001,0.039,3.601,6.042,2.197
-0.089,-1.003,0.042,3.723,5.371,1.770
-0.081,-1.002,0.057,3.967,5.249,0.488
-0.074,-1.013,0.054,3.540,4.333,-0.366
-0.080,-1.008,0.050,3.113,2.686,-0.427
-0.086,-1.006,0.042,3.906,1.587,-0.427
-0.080,-1.009,0.031,4.822,0.732,-0.305
-0.076,-1.016,0.026,5.005,-0.183,-0.122
-0.074,-1.026,0.028,4.211,-0.244,0.244
-0.074,-1.033,0.031,3.357,0.305,0.305
-0.074,-1.033,0.035,2.808,0.305,0.000
-0.076,-1.030,0.032,2.686,0.183,-0.427
-0.082,-1.024,0.027,3.174,0.244,-0.305
-0.085,-1.018,0.020,4.211,0.366,-0.122
-0.085,-1.016,0.010,5.432,0.549,0.549
-0.086,-1.016,0.002,6.775,0.305,1.526
-0.080,-1.026,0.000,7.202,0.488,2.808
-0.073,-1.043,0.002,6.348,0.916,3.967
-0.067,-1.058,0.008,5.371,1.770,4.944
-0.069,-1.068,0.012,3.662,2.502,5.127
-0.067,-1.070,0.013,1.831,3.113,4.883
-0.068,-1.068,0.014,0.549,3.296,3.906
-0.072,-1.062,0.014,0.671,2.991,2.869
-0.075,-1.050,0.011,1.282,2.686,1.892
-0.075,-1.041,0.007,2.441,2.197,1.221
-0.073,-1.037,0.001,3.479,1.709,1.099
-0.074,-1.039,-0.005,4.089,1.343,0.977
-0.075,-1.037,-0.008,4.456,1.404,0.793
-0.077,-1.036,-0.011,4.272,1.709,0.244
-0.079,-1.032,-0.011,3.540,2.014,-0.366
-0.080,-1.027,-0.010,2.747,2.197,-1.160
-0.083,-1.020,-0.012,2.075,2.441,-1.831
-0.085,-1.012,-0.010,1.892,2.625,-2.319
-0.087,-1.005,-0.010,2.136,2.686,-2.502
-0.090,-1.000,-0.008,2.258,2.563,-2.319
-0.090,-0.998,-0.002,1.953,2.319,-1.953
-0.091,-0.996,0.000,0.916,2.136,-1.160
-0.094,-0.996,0.006,-0.305,2.075,-0.671
-0.093,-0.994,0.012,-0.916,2.014,-0.366
-0.091,-0.994,0.017,-0.916,1.953,-0.183
-0.094,-0.988,0.017,0.061,1.953,0.122
-0.098,-0.982,0.017,0.793,2.014,0.366
-0.096,-0.977,0.017,1.038,1.770,0.977

-1.136,-1.693,-0.038,-4.517,14.160,-2.441
-1.285,-1.753,-0.002,-9.399,19.104,-5.981
-1.409,-1.786,0.072,-20.996,25.452,-12.634
-1.510,-1.764,0.165,-39.917,29.480,-20.081
-1.644,-1.702,0.273,-57.007,30.823,-25.085
-1.737,-1.626,0.392,-60.913,28.381,-27.832
-1.788,-1.535,0.486,-51.270,23.437,-29.175
-1.797,-1.410,0.567,-32.898,16.724,-29.053
-1.769,-1.249,0.668,-13.184,8.423,-29.358
-1.712,-1.014,0.708,0.854,-1.648,-31.128
-1.612,-0.774,0.742,7.629,-12.024,-30.151
-1.465,-0.542,0.708,9.216,-23.743,-22.217
-1.219,-0.345,0.603,9.705,-36.682,-6.775
-0.910,-0.159,0.394,15.625,-49.133,14.526
-0.535,-0.015,0.200,32.837,-56.458,40.039
-0.132,0.039,-0.001,55.054,-55.603,66.895
0.375,0.047,-0.220,77.209,-48.462,87.036
0.893,0.002,-0.367,100.403,-38.086,102.478
1.393,-0.107,-0.417,124.146,-29.053,112.793
1.823,-0.212,-0.431,134.644,-21.240,114.258
2.110,-0.313,-0.376,124.878,-25.330,108.582
2.312,-0.366,-0.283,84.900,-40.283,103.027
2.407,-0.500,-0.192,18.433,-62.927,101.624
2.348,-0.772,-0.131,-63.171,-88.379,107.544
2.185,-1.145,-0.136,-139.648,-104.492,114.807
2.005,-1.493,-0.172,-189.819,-105.347,118.958
1.531,-1.706,-0.201,-194.397,-92.651,107.727
1.331,-1.669,-0.278,-147.095,-74.097,77.271
0.883,-1.502,-0.282,-67.200,-44.312,56.946
0.617,-1.255,-0.317,6.592,-3.784,30.457
0.618,-1.104,-0.193,54.993,11.475,3.784
0.492,-0.968,0.023,64.026,-0.244,-14.771
0.416,-0.815,0.165,38.391,-12.512,-26.855
0.355,-0.622,0.217,2.625,-16.052,-33.020
0.249,-0.497,0.244,-23.010,-11.475,-33.447
0.182,-0.437,0.223,-32.532,-4.150,-26.428
0.118,-0.454,0.208,-28.259,1.648,-12.878
0.071,-0.533,0.234,-17.212,6.042,-2.563
0.054,-0.653,0.284,-7.385,6.531,4.944
0.064,-0.776,0.292,-2.563,5.371,11.414
0.088,-0.863,0.266,1.282,5.798,14.160
0.084,-0.886,0.216,7.812,8.545,16.052
0.072,-0.915,0.182,18.921,8.057,16.479
0.085,-0.946,0.156,32.410,1.404,15.686
0.102,-0.947,0.133,42.114,-7.751,15.869
0.120,-0.926,0.102,43.518,-14.832,18.188
0.167,-0.928,0.049,39.429,-16.052,20.386
0.194,-0.902,-0.008,33.142,-11.475,22.644
0.210,-0.880,-0.032,26.367,-10.437,25.208
0.266,-0.888,-0.045,19.714,-12.817,25.696
0.345,-0.893,-0.074,16.357,-11.658,25.879
0.406,-0.900,-0.106,19.653,-6.165,25.940
0.473,-0.901,-0.119,27.405,-0.671,23.071
0.514,-0.887,-0.131,34.363,4.944,18.005
0.522,-0.860,-0.127,38.574,11.902,10.010
0.495,-0.833,-0.116,38.147,18.311,0.366
0.440,-0.813,-0.088,31.921,24.597,-6.897
0.428,-0.798,-0.034,20.813,31.189,-11.841
0.461,-0.789,0.029,5.859,35.095,-13.123
0.508,-0.785,0.073,-6.531,34.790,-12.573
0.604,-0.802,0.092,-11.658,30.640,-11.292
0.691,-0.804,0.109,-7.935,24.170,-9.705
0.755,-0.822,0.111,3.662,18.433,-9.766
0.757,-0.827,0.102,16.052,16.479,-10.376
0.714,-0.837,0.078,25.208,19.409,-12.146
0.623,-0.833,0.041,27.283,27.344,-16.235
0.555,-0.829,-0.014,22.217,35.461,-21.545
0.575,-0.828,-0.067,14.771,38.086,-25.452
0.625,-0.828,-0.081,10.010,38.330,-27.466
0.647,-0.859,-0.056,13.367,42.175,-29.053
0.659,-0.862,0.010,24.170,50.171,-29.480
0.629,-0.892,0.107,34.790,58.105,-29.968
0.473,-0.964,0.154,39.490,69.092,-33.569
0.265,-1.005,0.127,36.133,80.261,-40.100
0.087,-1.009,0.092,27.283,80.505,-48.889
-0.018,-0.999,0.045,12.695,72.449,-59.998
-0.027,-0.953,0.002,-8.362,59.937,-68.970
0.019,-0.906,-0.021,-31.555,43.518,-70.862
0.026,-0.917,-0.013,-47.974,32.227,-64.514
-0.011,-0.966,0.034,-52.673,33.142,-55.359
-0.100,-1.000,0.104,-48.645,41.504,-49.805
-0.262,-1.012,0.162,-41.077,49.072,-50.781
-0.408,-0.988,0.191,-32.043,52.490,-54.993
-0.478,-0.944,0.187,-24.231,50.476,-57.251
-0.499,-0.911,0.129,-19.714,41.077,-53.772
-0.532,-0.916,0.066,-14.587,24.231,-45.288
-0.591,-0.930,0.034,-7.385,11.169,-35.156
-0.678,-0.944,0.045,-3.906,8.423,-25.757
-0.770,-0.931,0.092,-7.324,11.963,-17.334
-0.849,-0.911,0.151,-13.733,14.832,-10.254
-0.949,-0.919,0.196,-18.677,15.503,-4.639
-1.008,-0.918,0.198,-18.127,15.564,0.671
-0.994,-0.911,0.172,-10.376,10.986,7.568
-0.945,-0.928,0.140,2.808,2.380,15.503
-0.880,-0.981,0.095,15.076,-3.967,23.987
-0.802,-1.053,0.068,22.400,-7.263,32.776
-0.732,-1.130,0.064,22.400,-7.385,40.039
-0.672,-1.187,0.062,15.686,-4.639,44.312
-0.604,-1.214,0.073,5.371,-1.587,45.227
-0.531,-1.231,0.093,-2.563,0.427,43.274
-0.452,-1.224,0.110,-4.395,0.793,39.185
-0.364,-1.214,0.120,-0.854,0.305,33.936
-0.295,-1.202,0.117,4.578,-0.549,29.419
-0.243,-1.204,0.107,9.644,-1.221,26.672
-0.199,-1.209,0.088,13.123,-2.136,24.902
-0.160,-1.220,0.058,15.625,-3.357,23.071
-0.129,-1.227,0.032,18.433,-4.150,20.752
-0.114,-1.219,0.001,21.301,-3.540,17.456
-0.077,-1.197,-0.024,24.109,-1.892,13.428
-0.054,-1.166,-0.036,25.330,-2.502,10.742
-0.003,-1.171,-0.053,25.085,-2.441,7.996
0.024,-1.181,-0.064,23.071,-0.977,6.165
0.031,-1.177,-0.068,20.081,0.122,4.578
0.042,-1.175,-0.069,16.785,1.221,1.770
0.033,-1.155,-0.066,12.939,0.977,-1.709
0.018,-1.131,-0.072,9.399,0.305,-5.371
0.005,-1.094,-0.084,6.714,-0.305,-9.277
-0.007,-1.052,-0.086,5.493,-1.831,-11.902
-0.012,-1.022,-0.084,5.005,-3.174,-12.573
